,Stock,Weight_0,Weight_1,Weight_2,Weight_3,Weight_4
0,PG,0.15,0.15,0.15,0.1515151515151514,0.1442307692307692
1,KO,0.1,0.1,0.1,0.1313131313131313,0.0961538461538461
2,PEP,0.1,0.1,0.1,0.1515151515151514,0.1442307692307692
3,WMT,0.15,0.15,0.15,0.101010101010101,0.0961538461538461
4,COST,0.1,0.1,0.1,0.101010101010101,0.0961538461538461
5,MDLZ,0.05,0.05,0.05,0.0707070707070707,0.048076923076923
6,CL,0.05,0.05,0.05,0.0505050505050505,0.048076923076923
7,KMB,0.05,0.05,0.05,0.0505050505050505,0.048076923076923
8,GIS,0.05,0.05,0.05,0.0505050505050505,0.048076923076923
9,KHC,0.05,0.05,0.05,0.0303030303030302,0.048076923076923
10,EL,0.05,0.05,0.05,0.0303030303030302,0.048076923076923
11,TAP,0.02,0.02,0.02,0.0202020202020201,0.0288461538461538
12,MO,0.02,0.02,0.02,0.0202020202020201,0.0288461538461538
13,HSY,0.03,0.03,0.03,0.0202020202020201,0.0288461538461538
14,TSN,0.03,0.03,0.03,0.0202020202020201,0.048076923076923
