,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Stock,Weight_0,Weight_1,Weight_2,Weight_3,Weight_4
0,0,0,0,LMT,0.0666666666666666,0.0776699029126213,0.0925925925925925,0.0909090909090908,0.101010101010101
1,1,1,1,CAT,0.0761904761904761,0.0776699029126213,0.074074074074074,0.0808080808080807,0.0808080808080807
2,2,2,2,HON,0.0761904761904761,0.0776699029126213,0.074074074074074,0.0808080808080807,0.101010101010101
3,3,3,3,MMM,0.0571428571428571,0.058252427184466,0.0648148148148148,0.0707070707070706,0.0606060606060605
4,4,4,4,UPS,0.0761904761904761,0.058252427184466,0.0648148148148148,0.0707070707070706,0.0707070707070707
5,5,5,5,UNP,0.0666666666666666,0.0679611650485436,0.074074074074074,0.0707070707070706,0.0909090909090908
6,6,6,6,BA,0.0571428571428571,0.0679611650485436,0.0555555555555555,0.0707070707070706,0.0505050505050505
7,7,7,7,DE,0.0666666666666666,0.0679611650485436,0.074074074074074,0.0707070707070706,0.0808080808080807
8,8,8,8,GE,0.0571428571428571,0.0485436893203883,0.0555555555555555,0.0606060606060605,0.0303030303030302
9,9,9,9,RTX,0.0761904761904761,0.0679611650485436,0.0648148148148148,0.0606060606060605,0.0909090909090908
10,10,10,10,NOC,0.0666666666666666,0.0776699029126213,0.074074074074074,0.0606060606060605,0.0707070707070707
11,11,11,11,FDX,0.0761904761904761,0.058252427184466,0.0648148148148148,0.0606060606060605,0.0606060606060605
12,12,12,12,ITW,0.0571428571428571,0.0679611650485436,0.0555555555555555,0.0606060606060605,0.0606060606060605
13,13,13,13,EMR,0.0666666666666666,0.058252427184466,0.0555555555555555,0.0505050505050504,0.0303030303030302
14,14,14,14,CMI,0.0571428571428571,0.0679611650485436,0.0555555555555555,0.0404040404040403,0.0202020202020201
