,Unnamed: 0,Stock,Weight_0,Weight_1,Weight_2,Weight_3,Weight_4
0,0,AAPL,0.1442307692307692,0.1428571428571428,0.14,0.1442307692307692,0.0952380952380952
1,1,MSFT,0.1442307692307692,0.1428571428571428,0.12,0.1442307692307692,0.0952380952380952
2,2,AMZN,0.0961538461538461,0.0952380952380952,0.1,0.0961538461538461,0.0952380952380952
3,3,JNJ,0.0769230769230769,0.0476190476190476,0.08,0.0673076923076922,0.0476190476190476
4,4,PG,0.0673076923076922,0.0476190476190476,0.08,0.0673076923076922,0.0476190476190476
5,5,V,0.0673076923076922,0.0476190476190476,0.08,0.0673076923076922,0.0952380952380952
6,6,UNH,0.0673076923076922,0.0476190476190476,0.06,0.0673076923076922,0.0476190476190476
7,7,JPM,0.0576923076923076,0.0476190476190476,0.06,0.048076923076923,0.0476190476190476
8,8,HD,0.048076923076923,0.0476190476190476,0.06,0.048076923076923,0.0476190476190476
9,9,NVDA,0.048076923076923,0.0952380952380952,0.06,0.048076923076923,0.0952380952380952
10,10,DIS,0.0384615384615384,0.0476190476190476,0.04,0.048076923076923,0.0476190476190476
11,11,KO,0.0384615384615384,0.0476190476190476,0.04,0.048076923076923,0.0476190476190476
12,12,NEE,0.0288461538461538,0.0476190476190476,0.04,0.0288461538461538,0.0476190476190476
13,13,WMT,0.0288461538461538,0.0476190476190476,0.02,0.0288461538461538,0.0476190476190476
14,14,GOOGL,0.048076923076923,0.0476190476190476,0.02,0.048076923076923,0.0952380952380952
