,Stock,Weight_0,Weight_1,Weight_2,Weight_3,Weight_4
0,JPM,0.09174311926605505,0.13761467889908252,0.15,0.15151515151515146,0.15
1,BAC,0.07339449541284403,0.11009174311926602,0.1,0.1313131313131313,0.15
2,WFC,0.055045871559633024,0.07339449541284401,0.05,0.08080808080808079,0.1
3,C,0.06422018348623854,0.09174311926605502,0.1,0.101010101010101,0.1
4,GS,0.08256880733944953,0.06422018348623852,0.05,0.09090909090909088,0.1
5,MS,0.07339449541284403,0.06422018348623852,0.05,0.08080808080808079,0.1
6,USB,0.055045871559633024,0.05504587155963301,0.05,0.0707070707070707,0.05
7,PNC,0.06422018348623854,0.05504587155963301,0.05,0.060606060606060594,0.05
8,SCHW,0.055045871559633024,0.04587155963302751,0.05,0.0505050505050505,0.05
9,AXP,0.06422018348623854,0.04587155963302751,0.1,0.040404040404040394,0.05
10,PGR,0.055045871559633024,0.036697247706422007,0.05,0.030303030303030297,0.02
11,BLK,0.07339449541284403,0.04587155963302751,0.05,0.0505050505050505,0.02
12,BRK.B,0.045871559633027525,0.04587155963302751,0.05,0.030303030303030297,0.02
13,V,0.07339449541284403,0.07339449541284401,0.05,0.020202020202020197,0.02
14,MA,0.07339449541284403,0.05504587155963301,0.05,0.010101010101010098,0.02
