,Unnamed: 0,Stock,Weight_0,Weight_1,Weight_2,Weight_3,Weight_4
0,0,SHW,0.0990099009900989,0.1,0.0970873786407766,0.1,0.1
1,1,LIN,0.0792079207920791,0.1,0.0776699029126213,0.1,0.1
2,2,ECL,0.0792079207920791,0.08,0.0776699029126213,0.1,0.1
3,3,APD,0.0693069306930692,0.08,0.0679611650485436,0.1,0.05
4,4,PPG,0.0693069306930692,0.08,0.0679611650485436,0.08,0.05
5,5,IP,0.0594059405940593,0.06,0.058252427184466,0.08,0.05
6,6,WRK,0.0594059405940593,0.06,0.058252427184466,0.08,0.05
7,7,FCX,0.0693069306930692,0.06,0.0679611650485436,0.06,0.1
8,8,NUE,0.0693069306930692,0.06,0.0679611650485436,0.06,0.05
9,9,NEM,0.0594059405940593,0.06,0.0776699029126213,0.06,0.1
10,10,EMN,0.0594059405940593,0.06,0.0679611650485436,0.05,0.05
11,11,ALB,0.0693069306930692,0.06,0.058252427184466,0.05,0.05
12,12,LYB,0.0594059405940593,0.06,0.058252427184466,0.04,0.05
13,13,VMC,0.0495049504950494,0.04,0.0485436893203883,0.02,0.05
14,14,AVY,0.0495049504950494,0.04,0.0485436893203883,0.02,0.05
