,Unnamed: 0.1,Unnamed: 0,Stock,Weight_0,Weight_1,Weight_2,Weight_3,Weight_4
0,0,0,MSFT,0.1428571428571428,0.1923076923076922,0.1923076923076922,0.1428571428571428,0.1782178217821782
1,1,1,AAPL,0.1428571428571428,0.1442307692307692,0.1442307692307692,0.1428571428571428,0.1782178217821782
2,2,2,NVDA,0.0952380952380952,0.0961538461538461,0.0961538461538461,0.0952380952380952,0.1188118811881188
3,3,3,ADBE,0.0761904761904761,0.0961538461538461,0.0961538461538461,0.0952380952380952,0.099009900990099
4,4,4,INTC,0.0666666666666666,0.048076923076923,0.048076923076923,0.0476190476190476,0.0792079207920792
5,5,5,CRM,0.0666666666666666,0.048076923076923,0.048076923076923,0.0476190476190476,0.0792079207920792
6,6,6,ORCL,0.0666666666666666,0.048076923076923,0.048076923076923,0.0476190476190476,0.0594059405940594
7,7,7,IBM,0.0476190476190476,0.048076923076923,0.048076923076923,0.0476190476190476,0.0495049504950495
8,8,8,CSCO,0.0476190476190476,0.048076923076923,0.048076923076923,0.0476190476190476,0.0495049504950495
9,9,9,AMD,0.0476190476190476,0.048076923076923,0.048076923076923,0.0476190476190476,0.0396039603960396
10,10,10,ACN,0.0476190476190476,0.048076923076923,0.048076923076923,0.0476190476190476,0.0198019801980198
11,11,11,TXN,0.038095238095238,0.048076923076923,0.048076923076923,0.0476190476190476,0.0198019801980198
12,12,12,AVGO,0.038095238095238,0.048076923076923,0.0288461538461538,0.0476190476190476,0.0099009900990099
13,13,13,QCOM,0.038095238095238,0.0192307692307692,0.0288461538461538,0.0476190476190476,0.0099009900990099
14,14,14,NOW,0.038095238095238,0.0192307692307692,0.0288461538461538,0.0476190476190476,0.0099009900990099
