,Unnamed: 0,Stock,Weight_0,Weight_1,Weight_2,Weight_3,Weight_4
0,0,AMZN,0.202020202020202,0.1923076923076922,0.2,0.1923076923076922,0.1923076923076922
1,1,HD,0.1515151515151514,0.1442307692307692,0.1,0.1442307692307692,0.1442307692307692
2,2,NKE,0.101010101010101,0.0961538461538461,0.1,0.0961538461538461,0.0961538461538461
3,3,SBUX,0.0808080808080807,0.0961538461538461,0.05,0.0961538461538461,0.0961538461538461
4,4,MCD,0.0808080808080807,0.048076923076923,0.05,0.048076923076923,0.048076923076923
5,5,BKNG,0.0505050505050505,0.048076923076923,0.05,0.048076923076923,0.048076923076923
6,6,LOW,0.0505050505050505,0.048076923076923,0.1,0.048076923076923,0.048076923076923
7,7,TJX,0.0505050505050505,0.048076923076923,0.05,0.048076923076923,0.048076923076923
8,8,GM,0.0404040404040403,0.048076923076923,0.05,0.048076923076923,0.048076923076923
9,9,TSLA,0.0404040404040403,0.048076923076923,0.1,0.048076923076923,0.048076923076923
10,10,ROST,0.0404040404040403,0.048076923076923,0.05,0.048076923076923,0.048076923076923
11,11,F,0.0303030303030302,0.048076923076923,0.05,0.048076923076923,0.0288461538461538
12,12,DPZ,0.0303030303030302,0.0192307692307692,0.02,0.0288461538461538,0.0288461538461538
13,13,YUM,0.0303030303030302,0.0192307692307692,0.02,0.0288461538461538,0.0288461538461538
14,14,CMG,0.0202020202020201,0.048076923076923,0.01,0.0288461538461538,0.048076923076923
