,Stock,Weight_0,Weight_1,Weight_2,Weight_3,Weight_4
0,XOM,0.1395348837209302,0.1470588235294117,0.1176470588235293,0.1923076923076922,0.145631067961165
1,CVX,0.1162790697674418,0.1470588235294117,0.1176470588235293,0.1442307692307692,0.1359223300970873
2,COP,0.0930232558139534,0.0980392156862745,0.0980392156862745,0.0961538461538461,0.0970873786407766
3,SLB,0.0697674418604651,0.0784313725490195,0.0784313725490195,0.0769230769230769,0.0776699029126213
4,EOG,0.0813953488372093,0.0784313725490195,0.0784313725490195,0.0769230769230769,0.0776699029126213
5,PXD,0.0813953488372093,0.0784313725490195,0.0784313725490195,0.0673076923076922,0.0679611650485436
6,HAL,0.0581395348837209,0.0686274509803921,0.0686274509803921,0.0576923076923076,0.058252427184466
7,MPC,0.0465116279069767,0.0588235294117646,0.0686274509803921,0.048076923076923,0.058252427184466
8,DVN,0.0697674418604651,0.0490196078431372,0.0686274509803921,0.048076923076923,0.0485436893203883
9,PSX,0.0348837209302325,0.0392156862745097,0.0588235294117646,0.0384615384615384,0.0485436893203883
10,VLO,0.0348837209302325,0.0392156862745097,0.0588235294117646,0.0384615384615384,0.0485436893203883
11,HES,0.0697674418604651,0.0294117647058823,0.0392156862745097,0.0288461538461538,0.0388349514563106
12,WMB,0.0348837209302325,0.0294117647058823,0.0294117647058823,0.0288461538461538,0.0388349514563106
13,BKR,0.0348837209302325,0.0294117647058823,0.0196078431372548,0.0288461538461538,0.029126213592233
14,KMI,0.0348837209302325,0.0294117647058823,0.0196078431372548,0.0288461538461538,0.029126213592233
