,Unnamed: 0.1,Unnamed: 0,Stock,Weight_0,Weight_1,Weight_2,Weight_3,Weight_4
0,0,0,AAPL,0.1142857142857142,0.102803738317757,0.12,0.1142857142857142,0.0749999999999999
1,1,1,MSFT,0.1047619047619047,0.0934579439252336,0.1,0.1047619047619047,0.0749999999999999
2,2,2,AMZN,0.0857142857142856,0.0841121495327102,0.06,0.0952380952380952,0.0624999999999999
3,3,3,NVDA,0.0761904761904761,0.0747663551401869,0.08,0.0761904761904761,0.0499999999999999
4,4,4,GOOGL,0.0761904761904761,0.0841121495327102,0.08,0.0952380952380952,0.0749999999999999
5,5,5,AMD,0.0666666666666666,0.0654205607476635,0.06,0.0666666666666666,0.0374999999999999
6,6,6,JPM,0.0666666666666666,0.0560747663551401,0.05,0.0571428571428571,0.0749999999999999
7,7,7,V,0.0571428571428571,0.0654205607476635,0.04,0.0476190476190476,0.0499999999999999
8,8,8,JNJ,0.0666666666666666,0.0654205607476635,0.07,0.0666666666666666,0.0874999999999999
9,9,9,UNH,0.0666666666666666,0.0747663551401869,0.07,0.0571428571428571,0.0999999999999999
10,10,10,TSLA,0.0571428571428571,0.0654205607476635,0.08,0.0666666666666666,0.0624999999999999
11,11,11,PG,0.0476190476190476,0.0467289719626168,0.05,0.0476190476190476,0.0749999999999999
12,12,12,KO,0.038095238095238,0.0373831775700934,0.05,0.038095238095238,0.0499999999999999
13,13,13,CVX,0.0476190476190476,0.0467289719626168,0.05,0.038095238095238,0.0749999999999999
14,14,14,NEE,0.0285714285714285,0.0373831775700934,0.04,0.0285714285714285,0.0499999999999999
