,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Stock,Weight_0,Weight_1,Weight_2,Weight_3,Weight_4
0,0,0,0,AMZN,0.196078431372549,0.1923076923076922,0.174757281553398,0.1485148514851484,0.1470588235294117
1,1,1,1,TSLA,0.1470588235294117,0.1442307692307692,0.174757281553398,0.1188118811881187,0.0980392156862745
2,2,2,2,HD,0.0980392156862745,0.0961538461538461,0.116504854368932,0.0990099009900989,0.1176470588235293
3,3,3,3,NKE,0.0784313725490195,0.0769230769230769,0.0970873786407767,0.0792079207920792,0.0784313725490195
4,4,4,4,MCD,0.0784313725490195,0.0769230769230769,0.0776699029126213,0.0792079207920792,0.0980392156862745
5,5,5,5,SBUX,0.0686274509803921,0.0673076923076922,0.0776699029126213,0.0693069306930693,0.0784313725490195
6,6,6,6,LOW,0.0686274509803921,0.0673076923076922,0.058252427184466,0.0693069306930693,0.0686274509803921
7,7,7,7,BKNG,0.0588235294117646,0.048076923076923,0.0485436893203883,0.0594059405940593,0.0588235294117646
8,8,8,8,GM,0.0490196078431372,0.048076923076923,0.0388349514563106,0.0495049504950494,0.0490196078431372
9,9,9,9,TJX,0.0392156862745097,0.0384615384615384,0.029126213592233,0.0495049504950494,0.0490196078431372
10,10,10,10,F,0.0294117647058823,0.0288461538461538,0.029126213592233,0.0396039603960396,0.0392156862745097
11,11,11,11,BBY,0.0294117647058823,0.0288461538461538,0.0194174757281553,0.0396039603960396,0.0294117647058823
12,12,12,12,YUM,0.0196078431372548,0.0288461538461538,0.0194174757281553,0.0396039603960396,0.0294117647058823
13,13,13,13,MAR,0.0196078431372548,0.0288461538461538,0.0194174757281553,0.0297029702970296,0.0294117647058823
14,14,14,14,LULU,0.0196078431372548,0.0288461538461538,0.0194174757281553,0.0297029702970296,0.0294117647058823
