,Unnamed: 0,Stock,Weight_0,Weight_1,Weight_2,Weight_3,Weight_4
0,0,AAPL,0.2,0.1428571428571428,0.1923076923076922,0.1530612244897959,0.1923076923076922
1,1,MSFT,0.18,0.1428571428571428,0.1923076923076922,0.1530612244897959,0.1442307692307692
2,2,NVDA,0.1,0.1142857142857142,0.0961538461538461,0.1020408163265306,0.0961538461538461
3,3,AMD,0.08,0.0761904761904761,0.0769230769230769,0.1020408163265306,0.0769230769230769
4,4,ACN,0.07,0.0666666666666666,0.0288461538461538,0.0510204081632653,0.0769230769230769
5,5,ADBE,0.07,0.0666666666666666,0.0769230769230769,0.0510204081632653,0.0673076923076922
6,6,AVGO,0.06,0.0571428571428571,0.048076923076923,0.0306122448979591,0.0576923076923076
7,7,QCOM,0.06,0.0571428571428571,0.048076923076923,0.0510204081632653,0.048076923076923
8,8,ORCL,0.05,0.0476190476190476,0.0288461538461538,0.0510204081632653,0.0384615384615384
9,9,CRM,0.04,0.0761904761904761,0.0673076923076922,0.0510204081632653,0.0673076923076922
10,10,TXN,0.03,0.0285714285714285,0.0384615384615384,0.0306122448979591,0.0384615384615384
11,11,INTC,0.03,0.038095238095238,0.0384615384615384,0.0510204081632653,0.0288461538461538
12,12,CSCO,0.02,0.0285714285714285,0.0288461538461538,0.0510204081632653,0.0288461538461538
13,13,IBM,0.01,0.0285714285714285,0.0192307692307692,0.0204081632653061,0.0192307692307692
14,14,NOW,,0.0285714285714285,0.0192307692307692,0.0510204081632653,0.0192307692307692
