,Stock,Weight_0,Weight_1,Weight_2,Weight_3,Weight_4
0,JPM,0.1941747572815533,0.109090909090909,0.109090909090909,0.1132075471698112,0.109090909090909
1,BAC,0.145631067961165,0.0909090909090909,0.0909090909090909,0.1037735849056603,0.0999999999999999
2,WFC,0.0970873786407766,0.0636363636363636,0.0636363636363636,0.0754716981132075,0.0636363636363636
3,GS,0.0776699029126213,0.0727272727272727,0.0818181818181818,0.0754716981132075,0.0727272727272727
4,MS,0.0776699029126213,0.0636363636363636,0.0727272727272727,0.0660377358490565,0.0727272727272727
5,BRK.B,0.116504854368932,0.1363636363636363,0.1272727272727273,0.1320754716981131,0.1272727272727273
6,BLK,0.0679611650485436,0.0818181818181818,0.0909090909090909,0.0660377358490565,0.0545454545454545
7,SCHW,0.0485436893203883,0.0545454545454545,0.0545454545454545,0.0566037735849056,0.0545454545454545
8,AXP,0.0388349514563106,0.0545454545454545,0.0545454545454545,0.0566037735849056,0.0545454545454545
9,V,0.0388349514563106,0.0727272727272727,0.0727272727272727,0.0660377358490565,0.0818181818181818
10,MA,0.029126213592233,0.0636363636363636,0.0636363636363636,0.0566037735849056,0.0727272727272727
11,PGR,0.0194174757281553,0.0363636363636363,0.0272727272727272,0.0283018867924528,0.0272727272727272
12,SPGI,0.0194174757281553,0.0454545454545454,0.0454545454545454,0.0283018867924528,0.0454545454545454
13,USB,0.0194174757281553,0.0272727272727272,0.0181818181818181,0.0377358490566037,0.0363636363636363
14,PNC,0.0097087378640776,0.0272727272727272,0.0272727272727272,0.0377358490566037,0.0272727272727272
