,Stock,Weight_0,Weight_1,Weight_2,Weight_3,Weight_4
0,META,0.05,0.05,0.04761904761904761,0.04761904761904761,0.05
1, GOOGL,0.15,0.15,0.14285714285714282,0.14285714285714282,0.15
2, GOOG,0.15,0.15,0.09523809523809522,0.14285714285714282,0.15
3, NFLX,0.1,0.1,0.09523809523809522,0.09523809523809522,0.1
4, DIS,0.08,0.1,0.09523809523809522,0.09523809523809522,0.1
5, CMCSA,0.08,0.08,0.09523809523809522,0.09523809523809522,0.08
6, VZ,0.07,0.08,0.04761904761904761,0.04761904761904761,0.07
7, T,0.06,0.07,0.04761904761904761,0.04761904761904761,0.06
8, CHTR,0.06,0.06,0.04761904761904761,0.04761904761904761,0.06
9, EA,0.05,0.05,0.04761904761904761,0.04761904761904761,0.05
10, MTCH,0.05,0.05,0.09523809523809522,0.04761904761904761,0.05
11, TMUS,0.06,0.04,0.09523809523809522,0.09523809523809522,0.05
12, TTWO,0.04,0.02,0.04761904761904761,0.04761904761904761,0.03
