,Stock,Weight_0,Weight_1,Weight_2,Weight_3,Weight_4
0,PG,0.1578947368421052,0.1442307692307692,0.1132075471698112,0.1363636363636363,0.1415094339622641
1,KO,0.1263157894736841,0.1153846153846153,0.0943396226415094,0.0909090909090909,0.1132075471698112
2,PEP,0.1052631578947368,0.1153846153846153,0.0943396226415094,0.0909090909090909,0.0943396226415094
3,WMT,0.0947368421052631,0.0961538461538461,0.0943396226415094,0.1363636363636363,0.0943396226415094
4,CL,0.0736842105263157,0.0769230769230769,0.0754716981132075,0.0454545454545454,0.0754716981132075
5,KMB,0.063157894736842,0.0769230769230769,0.0754716981132075,0.0454545454545454,0.0754716981132075
6,CLX,0.0526315789473684,0.0576923076923076,0.0754716981132075,0.0454545454545454,0.0660377358490565
7,HSY,0.0526315789473684,0.0576923076923076,0.0566037735849056,0.0454545454545454,0.0566037735849056
8,GIS,0.0526315789473684,0.048076923076923,0.0566037735849056,0.0454545454545454,0.0566037735849056
9,EL,0.0421052631578947,0.048076923076923,0.0566037735849056,0.0454545454545454,0.0471698113207547
10,MDLZ,0.0421052631578947,0.0384615384615384,0.0471698113207547,0.0454545454545454,0.0471698113207547
11,COST,0.0421052631578947,0.0384615384615384,0.0471698113207547,0.0909090909090909,0.0377358490566037
12,SYY,0.031578947368421,0.0384615384615384,0.0471698113207547,0.0454545454545454,0.0377358490566037
13,ADM,0.031578947368421,0.0288461538461538,0.0377358490566037,0.0454545454545454,0.0283018867924528
14,MKC,0.031578947368421,0.0192307692307692,0.0283018867924528,0.0454545454545454,0.0283018867924528
