,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Stock,Weight_0,Weight_1,Weight_2,Weight_3,Weight_4
0,0,0,0,LIN,0.1415094339622641,0.0833333333333333,0.0588235294117646,0.108695652173913,0.0666666666666666
1,1,1,1, APD,0.1132075471698113,0.1249999999999999,0.0784313725490195,0.108695652173913,0.0666666666666666
2,2,2,2, ECL,0.0943396226415094,0.0666666666666666,0.0686274509803921,0.0869565217391304,0.0666666666666666
3,3,3,3, SHW,0.0943396226415094,0.0999999999999999,0.088235294117647,0.0869565217391304,0.0666666666666666
4,4,4,4, DOW,0.0754716981132075,0.0583333333333333,0.0588235294117646,0.0760869565217391,0.0666666666666666
5,5,5,5, LYB,0.0754716981132075,0.0499999999999999,0.0686274509803921,0.0652173913043478,0.0666666666666666
6,6,6,6, FCX,0.0660377358490566,0.0416666666666666,0.0588235294117646,0.0652173913043478,0.0666666666666666
7,7,7,7, IP,0.0566037735849056,0.0499999999999999,0.0588235294117646,0.0652173913043478,0.0666666666666666
8,8,8,8, NEM,0.0566037735849056,0.0583333333333333,0.0686274509803921,0.0543478260869565,0.0666666666666666
9,9,9,9, WRK,0.0471698113207547,0.0416666666666666,0.0588235294117646,0.0543478260869565,0.0666666666666666
10,10,10,10, NUE,0.0471698113207547,0.0666666666666666,0.0588235294117646,0.0543478260869565,0.0666666666666666
11,11,11,11, ALB,0.0377358490566037,0.0833333333333333,0.0784313725490195,0.0543478260869565,0.0666666666666666
12,12,12,12, PPG,0.0377358490566037,0.0749999999999999,0.0686274509803921,0.0434782608695652,0.0666666666666666
13,13,13,13, VMC,0.0283018867924528,0.0333333333333333,0.0588235294117646,0.0434782608695652,0.0666666666666666
14,14,14,14, IFF,0.0283018867924528,0.0666666666666666,0.0686274509803921,0.0326086956521739,0.0666666666666666
