,Unnamed: 0,Stock,Weight_0,Weight_1,Weight_2,Weight_3,Weight_4
0,0,AAPL,0.1363636363636363,0.145631067961165,0.1363636363636363,0.1388888888888888,0.1401869158878504
1,1,MSFT,0.1363636363636363,0.116504854368932,0.1363636363636363,0.1388888888888888,0.1401869158878504
2,2,AMZN,0.0909090909090908,0.116504854368932,0.0909090909090908,0.111111111111111,0.1121495327102803
3,3,GOOGL,0.0909090909090908,0.0970873786407766,0.0909090909090908,0.0925925925925925,0.1121495327102803
4,4,META,0.0454545454545454,0.0776699029126213,0.0454545454545454,0.074074074074074,0.0747663551401869
5,5,JNJ,0.0454545454545454,0.0679611650485436,0.0454545454545454,0.074074074074074,0.0654205607476635
6,6,V,0.0727272727272727,0.0679611650485436,0.0727272727272727,0.0648148148148148,0.0654205607476635
7,7,JPM,0.0545454545454545,0.058252427184466,0.0727272727272727,0.0555555555555555,0.0560747663551401
8,8,PG,0.0454545454545454,0.0485436893203883,0.0545454545454545,0.0462962962962962,0.0467289719626168
9,9,UNH,0.0454545454545454,0.0485436893203883,0.0545454545454545,0.0462962962962962,0.0467289719626168
10,10,HD,0.0545454545454545,0.0388349514563106,0.0636363636363636,0.037037037037037,0.0373831775700934
11,11,DIS,0.0363636363636363,0.0388349514563106,0.0363636363636363,0.037037037037037,0.02803738317757
12,12,MA,0.0545454545454545,0.029126213592233,0.0454545454545454,0.0277777777777777,0.02803738317757
13,13,NVDA,0.0636363636363636,0.029126213592233,0.0454545454545454,0.0277777777777777,0.02803738317757
14,14,KO,0.0272727272727272,0.0194174757281553,0.009090909090909,0.0277777777777777,0.0186915887850467
