,Stock,Weight_0,Weight_1,Weight_2,Weight_3,Weight_4
0,JPM,0.1415094339622641,0.1428571428571428,0.1470588235294117,0.1363636363636363,0.1470588235294117
1,BAC,0.0943396226415094,0.1142857142857142,0.0980392156862745,0.109090909090909,0.0980392156862745
2,WFC,0.0943396226415094,0.0952380952380952,0.0980392156862745,0.0909090909090908,0.0784313725490196
3,C,0.0943396226415094,0.0952380952380952,0.0980392156862745,0.0909090909090908,0.0980392156862745
4,GS,0.0943396226415094,0.0761904761904761,0.0784313725490196,0.0909090909090908,0.1176470588235294
5,MS,0.0754716981132075,0.0761904761904761,0.0784313725490196,0.0727272727272727,0.0784313725490196
6,AXP,0.0566037735849056,0.0666666666666666,0.0588235294117647,0.0727272727272727,0.0588235294117647
7,V,0.0566037735849056,0.0666666666666666,0.0588235294117647,0.0636363636363636,0.0784313725490196
8,MA,0.0566037735849056,0.0571428571428571,0.0588235294117647,0.0636363636363636,0.0588235294117647
9,SCHW,0.0471698113207547,0.0476190476190476,0.0490196078431372,0.0454545454545454,0.0490196078431372
10,BLK,0.0471698113207547,0.0476190476190476,0.0490196078431372,0.0454545454545454,0.0392156862745098
11,COF,0.0377358490566037,0.038095238095238,0.0392156862745098,0.0363636363636363,0.0392156862745098
12,DFS,0.0377358490566037,0.0285714285714285,0.0392156862745098,0.0363636363636363,0.0196078431372549
13,STT,0.0283018867924528,0.0285714285714285,0.0294117647058823,0.0272727272727272,0.0196078431372549
14,BK,0.0377358490566037,0.019047619047619,0.0196078431372549,0.0181818181818181,0.0196078431372549
