,Unnamed: 0,Stock,Weight_0,Weight_1,Weight_2,Weight_3,Weight_4
0,0,JNJ,0.1388888888888888,0.1388888888888888,0.1363636363636363,0.1578947368421052,0.1363636363636363
1,1, PFE,0.111111111111111,0.0925925925925925,0.0909090909090908,0.1263157894736842,0.0909090909090908
2,2, MRK,0.111111111111111,0.0925925925925925,0.0909090909090908,0.1052631578947368,0.0909090909090908
3,3, ABT,0.074074074074074,0.074074074074074,0.0909090909090908,0.0842105263157894,0.0727272727272727
4,4, BMY,0.074074074074074,0.074074074074074,0.0727272727272727,0.0736842105263157,0.0727272727272727
5,5, AMGN,0.074074074074074,0.074074074074074,0.0727272727272727,0.0631578947368421,0.0727272727272727
6,6, GILD,0.0555555555555555,0.0648148148148148,0.0636363636363636,0.0631578947368421,0.0636363636363636
7,7, LLY,0.0555555555555555,0.0648148148148148,0.0636363636363636,0.0526315789473684,0.0636363636363636
8,8, TMO,0.0555555555555555,0.0555555555555555,0.0636363636363636,0.0526315789473684,0.0636363636363636
9,9, MDT,0.0462962962962962,0.0555555555555555,0.0545454545454545,0.0526315789473684,0.0545454545454545
10,10, ABBV,0.0462962962962962,0.0462962962962962,0.0545454545454545,0.0421052631578947,0.0545454545454545
11,11, UNH,0.0462962962962962,0.0462962962962962,0.0454545454545454,0.0421052631578947,0.0454545454545454
12,12, BIIB,0.037037037037037,0.0462962962962962,0.0363636363636363,0.031578947368421,0.0454545454545454
13,13, VRTX,0.037037037037037,0.037037037037037,0.0363636363636363,0.031578947368421,0.0363636363636363
14,14, REGN,0.037037037037037,0.037037037037037,0.0272727272727272,0.0210526315789473,0.0363636363636363
