sector,gpt_4_model_weighted,gpt_4_equally_weighted,gpt_4_minvar,gpt_4_maxret,gpt_4_maxsharpe,gpt_3_model_weighted,gpt_3_equally_weighted,gpt_3_minvar,gpt_3_maxret,gpt_3_maxsharpe,gpt_4_preview_model_weighted,gpt_4_preview_equally_weighted,gpt_4_preview_minvar,gpt_4_preview_maxret,gpt_4_preview_maxsharpe,bard_model_weighted,bard_equally_weighted,bard_minvar,bard_maxret,bard_maxsharpe,claude_model_weighted,claude_equally_weighted,claude_minvar,claude_maxret,claude_maxsharpe
energy,-0.5417837533355931,0.39613210959003003,0.3039013479409234,0.2220425973822802,0.12491361507336976,-0.655003819788343,0.49130831374745854,0.3630535918874795,0.19342175784417462,0.3269699027764652,-0.6668268238549511,0.55622163305816,0.3776843811170118,0.29708401019690933,0.32070760114801405,-0.6668268238549511,0.55622163305816,0.25454111068272706,0.1470633714726561,0.04666715275446317,-0.6668268238549511,0.55622163305816,0.29426629003584065,0.2744034865615247,0.04688885398332702,
materials,-0.639749584612834,0.28952591818704987,0.36032710197775875,-0.00113747854106734,-0.020376456561494085,-0.49371172011941733,0.19116470829829868,0.3136743085405914,-0.0511906579464064,-0.039826479563967856,-0.761370793442344,0.26088705661571265,0.30911625194222875,0.07082860695366526,-0.019995270840610587,-0.761370793442344,0.26088705661571265,0.16032952205435325,0.060054040784111216,0.01974748036067538,-0.761370793442344,0.26088705661571265,0.5386948133649263,-0.007020788349558229,0.11676881457168965,
industrials,-0.9858064855348789,0.21537725299292065,0.02264908660781182,0.005724133818785352,-0.03508661721047081,-0.585539391652296,0.23474127474774004,0.01854407714884325,0.0238060783651038,-0.05696870133656354,-0.6820953339970502,0.27483108204889706,0.04753009048901465,0.0803082317433876,-0.04089838558088287,-0.6820953339970502,0.27483108204889706,0.47065487201836326,0.5551520830586744,0.510103691090369,-0.6820953339970502,0.27483108204889706,0.08235684975374367,0.18963037972667066,0.04976118332002227,
consumer_discretionary,-0.5502953222456559,0.6122453087709219,0.4631215346066946,0.5222267113528232,0.5707177153763188,-0.5120062126047114,0.5335740541668202,0.4123479472063667,0.48809353154856144,0.47225711876846305,-0.5102243903836701,0.49373892006464565,0.3636869813938516,0.4807386962411213,0.5070348631256123,-0.5102243903836701,0.49373892006464565,0.45550285569807997,0.6139614083459656,0.5898255674364656,-0.5102243903836701,0.49373892006464565,0.5441009008995671,0.7105638718467776,0.6857685090587087,
consumer_staples,0.9255079809910043,-0.3239688134728154,-0.31537843754698874,-0.34701543165419213,-0.24624223715140245,0.6929227662302385,-0.46490018131969024,-0.432355650460355,-0.3498861115109639,-0.32102143046263987,2.2239409459645647,-0.42530727752512654,-0.42913480663312975,-0.31030539720343553,-0.2787625861675727,2.2239409459645647,-0.42530727752512654,-0.3782521379940105,-0.15627636715733376,-0.2040139018211048,2.2239409459645647,-0.42530727752512654,-0.2521502888131178,-0.3434129747455731,-0.2588388316261615,
health_care,0.6780890194896414,0.07326740721310496,-0.17460077920464684,0.19716215490627548,0.16176748770040775,0.8884200545326255,0.020435202468523914,-0.2289873651174214,0.17548517718013887,0.14080452169319244,0.7098402086847727,0.1172075470610526,-0.1578669901049204,0.23640323782951908,0.16639821026214294,0.7098402086847727,0.1172075470610526,-0.3345708660364255,0.07006230887270558,0.04140306616022154,0.7098402086847727,0.1172075470610526,-0.11651675179964109,0.25519490813277546,0.1860688601801638,
financials,0.46135394623063253,0.9661006054995499,0.6936626376534495,0.9031293245161497,0.9109099546446138,0.35495486916332963,1.3603657819269075,1.0072680902781073,0.953077780066052,0.9463037108772382,0.19042088368152568,1.0129928252287992,0.7018633401257,0.9117683917734598,0.8640004430784047,0.19042088368152568,1.0129928252287992,0.6945899280376994,0.8536883284881456,0.8586660872149278,0.19042088368152568,1.0129928252287992,1.0960338772874907,1.0539213291755551,1.0277846320907529,
information_technology,-1.2642869853073877,1.359173933595265,0.8805922589727097,0.8852516849319378,1.0705402375370925,-1.3607823178103216,1.390177260718353,0.8846634098127272,0.8985764376782295,1.0754252822653154,-1.2812552015507637,1.359173933595265,0.8805922589727095,0.8852516849319378,1.070540237537093,-1.2812552015507637,1.359173933595265,0.6637549237572157,0.833624277817807,0.7827593217875893,-1.2812552015507637,1.359173933595265,0.7755495723951735,0.8652312610564683,0.8580826795916601,
communication_services,0.1412010539194809,0.5922873143526113,0.5722946950168473,0.5327803241006663,0.4427869439176389,-0.25852669554879903,0.8823702489746416,0.88734100024933,0.6874490273941988,0.8587147434950962,-0.034794819473337374,0.5350410161701074,0.5936980394073406,0.4293869547592214,0.4221019967008052,-0.034794819473337374,0.5350410161701074,0.705361554483117,0.832137923436231,0.9195363753026946,-0.034794819473337374,0.5350410161701074,0.603842187805789,0.5125342410668006,0.5361637241724968,
utilities,5.221946463284931,-0.6739785378446738,-0.5745490144773295,-0.4742168806449737,-0.4742168806449733,3.3171152536855475,-0.6725980831596239,-0.5252500664505544,-0.44817646966227387,-0.47476762611220347,3.9629209987234586,-0.5794145936653279,-0.48967079022607063,-0.39109344343767427,-0.4169708289745952,3.9629209987234586,-0.5794145936653279,-0.4457666389374868,-0.40657066966841926,-0.4129163676815925,3.9629209987234586,-0.5794145936653279,-0.5529641994176487,-0.45232660035885525,-0.49905556391155403,
