gpt-3.5-turbo-0613,energy,3.4754084060884503
gpt-4,energy,3.27455199689173
gpt-4-1106-preview,energy,3.364024708562536
bard,energy,3.1835829162234828
gpt-3.5-turbo-0613,materials,5.748357081721101
gpt-4,materials,5.796482992382542
gpt-4-1106-preview,materials,5.694870240037025
bard,materials,5.181307946999111
gpt-3.5-turbo-0613,industrials,5.856024035866428
gpt-4,industrials,6.00662227017689
gpt-4-1106-preview,industrials,5.8728590422153
bard,industrials,6.933376809375742
gpt-3.5-turbo-0613,consumer_discretionary,6.332420826909434
gpt-4,consumer_discretionary,7.083052741334418
gpt-4-1106-preview,consumer_discretionary,7.11314556804943
bard,consumer_discretionary,7.3153297192654305
gpt-3.5-turbo-0613,consumer_staples,8.828382583974753
gpt-4,consumer_staples,8.010494216544522
gpt-4-1106-preview,consumer_staples,8.269916451342354
bard,consumer_staples,9.507518776483023
gpt-3.5-turbo-0613,health_care,8.84080113145371
gpt-4,health_care,8.46089022905593
gpt-4-1106-preview,health_care,8.709131009853749
bard,health_care,8.454161951927926
gpt-3.5-turbo-0613,financials,4.105740650501634
gpt-4,financials,4.19643690432562
gpt-4-1106-preview,financials,4.207766413341966
